Level,Area_km2,Volume_million_m3
-237.7,69.110091,577.23553
-237.71,69.065719,576.52246
-237.72,69.021362,575.80986
-237.73,68.977018,575.09771
-237.74,68.932686,574.38603
-237.75,68.888364,573.67481
-237.76,68.844051,572.96404
-237.77,68.799744,572.25373
-237.78,68.755442,571.54387
-237.79,68.711144,570.83447
-237.8,68.666848,570.12552
-237.81,68.622552,569.41701
-237.82,68.578255,568.70896
-237.83,68.533955,568.00135
-237.84,68.48965,567.29419
-237.85,68.445339,566.58747
-237.86,68.40102,565.88119
-237.87,68.356692,565.17535
-237.88,68.312352,564.46996
-237.89,68.268,563.765
-237.9,68.223634,563.06048
-237.91,68.179253,562.35639
-237.92,68.134859,561.65274
-237.93,68.09045,560.94953
-237.94,68.046028,560.24676
-237.95,68.001591,559.54442
-237.96,67.957141,558.84252
-237.97,67.912677,558.14106
-237.98,67.868199,557.44003
-237.99,67.823708,556.73945
-238,67.779204,556.0393
-238.01,67.734686,555.33958
-238.02,67.690155,554.64031
-238.03,67.645611,553.94148
-238.04,67.601054,553.24308
-238.05,67.556484,552.54512
-238.06,67.511901,551.8476
-238.07,67.467306,551.15052
-238.08,67.422697,550.45388
-238.09,67.378077,549.75768
-238.1,67.333443,549.06191
-238.11,67.288798,548.36659
-238.12,67.24414,547.6717
-238.13,67.19947,546.97726
-238.14,67.154787,546.28326
-238.15,67.110093,545.58969
-238.16,67.065387,544.89657
-238.17,67.020669,544.20388
-238.18,66.975939,543.51164
-238.19,66.931198,542.81984
-238.2,66.886445,542.12847
-238.21,66.841681,541.43755
-238.22,66.796905,540.74707
-238.23,66.752119,540.05703
-238.24,66.707321,539.36743
-238.25,66.662511,538.67828
-238.26,66.617691,537.98956
-238.27,66.57286,537.30129
-238.28,66.528019,536.61346
-238.29,66.483166,535.92607
-238.3,66.438303,535.23912
-238.31,66.39343,534.55261
-238.32,66.348546,533.86655
-238.33,66.303652,533.18093
-238.34,66.258747,532.49575
-238.35,66.213833,531.81102
